ВЕДОМОСТЬ КООРДИНАТ ПУНКТОВ
================================================================================

№     Наименование         X (м)           Y (м)           Статус плана   
--------------------------------------------------------------------------------
1     GSIP_STATION_0       -               -               working        
2     GSIP_83_0            -               -               working        
3     GSIP_573_1           -               -               working        
4     GSIP_573_2           -               -               working        
5     GSIP_83_3            -               -               working        
6     GSIP_573_4           -               -               working        
7     GSIP_83_5            -               -               working        
8     GSIP_573_6           -               -               working        
9     GSIP_83_7            -               -               working        
10    GSIP_83_8            -               -               working        
11    GSIP_573_9           -               -               working        
12    GSIP_573_10          -               -               working        
13    GSIP_573_11          -               -               working        
14    GSIP_83_12           -               -               working        
15    GSIP_83_13           -               -               working        
16    GSIP_573_14          -               -               working        
17    GSIP_83_15           -               -               working        
18    GSIP_573_16          -               -               working        
19    GSIP_83_17           -               -               working        
20    GSIP_83_18           -               -               working        
21    GSIP_573_19          -               -               working        
22    GSIP_83_20           -               -               working        
23    GSIP_83_21           -               -               working        
24    GSIP_573_22          -               -               working        
25    GSIP_573_23          -               -               working        
26    GSIP_573_24          -               -               working        
27    GSIP_83_25           -               -               working        
28    GSIP_83_26           -               -               working        
29    GSIP_573_27          -               -               working        
30    GSIP_573_28          -               -               working        
31    GSIP_573_29          -               -               working        
32    GSIP_573_30          -               -               working        
33    GSIP_573_31          -               -               working        
34    GSIP_573_32          -               -               working        
35    GSIP_83_2            -               -               working        
36    GSIP_83_4            -               -               working        
37    GSIP_573_5           -               -               working        
38    GSIP_83_6            -               -               working        
39    GSIP_573_8           -               -               working        
40    GSIP_83_9            -               -               working        
41    GSIP_83_10           -               -               working        
42    GSIP_83_11           -               -               working        
43    GSIP_573_13          -               -               working        
44    GSIP_83_16           -               -               working        
45    GSIP_573_20          -               -               working        
46    GSIP_573_21          -               -               working        
47    GSIP_573_26          -               -               working        
48    GSIP_83_29           -               -               working        
49    GSIP_83_31           -               -               working        
50    GSIP_83_32           -               -               working        
51    GSIP_83_33           -               -               working        
52    GSIP_573_34          -               -               working        
53    GSIP_573_35          -               -               working        
54    GSIP_573_36          -               -               working        
55    GSIP_573_37          -               -               working        
56    GSIP_573_38          -               -               working        
57    GSIP_573_39          -               -               working        
58    GSIP_573_40          -               -               working        
59    GSIP_573_41          -               -               working        
60    GSIP_573_42          -               -               working        
61    GSIP_573_43          -               -               working        
62    GSIP_573_44          -               -               working        
63    GSIP_573_45          -               -               working        
64    GSIP_573_46          -               -               working        
65    GSIP_573_47          -               -               working        
66    GSIP_573_48          -               -               working        
67    GSIP_83_49           -               -               working        
68    GSIP_573_50          -               -               working        
69    GSIP_573_51          -               -               working        
70    GSIP_83_52           -               -               working        
71    GSIP_573_53          -               -               working        
72    GSIP_573_54          -               -               working        
73    GSIP_573_55          -               -               working        
74    GSIP_573_56          -               -               working        
75    GSIP_573_57          -               -               working        
76    GSIP_83_58           -               -               working        
77    GSIP_573_59          -               -               working        
78    GSIP_573_60          -               -               working        
79    GSIP_573_61          -               -               working        
80    GSIP_83_62           -               -               working        
81    GSIP_83_63           -               -               working        
82    GSIP_83_64           -               -               working        
83    GSIP_83_65           -               -               working        
84    GSIP_573_66          -               -               working        
85    GSIP_573_67          -               -               working        
86    GSIP_573_68          -               -               working        
87    GSIP_573_69          -               -               working        
88    GSIP_573_70          -               -               working        
89    GSIP_573_71          -               -               working        
90    GSIP_573_72          -               -               working        
91    GSIP_573_73          -               -               working        
92    GSIP_83_74           -               -               working        
93    GSIP_573_75          -               -               working        
94    GSIP_573_76          -               -               working        
95    GSIP_573_77          -               -               working        
96    GSIP_573_78          -               -               working        
97    GSIP_573_79          -               -               working        
98    GSIP_573_80          -               -               working        
99    gr3.1                9403.1312       3699.8679       fixed          
100   Z11                  -               -               working        
101   Z12                  -               -               working        
102   Z13                  -               -               working        
103   GR4                  9471.7708       3852.4012       fixed          
104   gr2.1                9356.2221       3601.1408       initial        
105   Z5                   -               -               working        
106   Z10                  -               -               working        
107   Z4                   -               -               working        
108   Z14                  -               -               working        
109   p100                 9261.0952       3574.5291       initial        
110   Z2                   -               -               working        
111   52267                -               -               working        
112   gr8.1                9034.1627       3712.1438       initial        
113   n42                  -               -               working        
114   kyt2                 -               -               working        
115   kyt1                 -               -               working        
116   Y3                   -               -               working        
117   Y2                   -               -               working        
118   GR7                  9166.7429       3993.3282       initial        
119   GR0                  -               -               working        
120   51510                -               -               working        
121   GR6                  9258.0551       4141.1543       initial        
122   67406                -               -               working        
123   67059                -               -               working        
124   p101                 9441.4289       4063.8892       initial        
125   gr5.1                9489.5179       4036.9400       initial        
126   p102                 9486.5928       3912.9275       initial        
127   p103                 9306.5345       3930.1454       initial        
128   p104                 9261.6293       3913.9284       initial        
129   4.2                  -               -               working        
130   4.4                  -               -               working        
131   4.3                  -               -               working        
132   8.2                  -               -               working        
133   8.1                  -               -               working        
134   Z9                   -               -               working        
135   Y4                   -               -               working        
136   Z8                   -               -               working        
137   GR17                 9431.4674       3813.8594       initial        
138   p105                 9461.1431       3890.3273       initial        
139   p106                 9377.1454       3890.0268       initial        
140   GR18                 -               -               working        
141   gr16.1               9380.9343       3777.9163       initial        
142   GR19                 -               -               working        
143   n45                  -               -               working        
144   n41                  -               -               working        
145   n46                  -               -               working        
146   179                  -               -               working        
